Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
工站初始化,Station_Initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|工站初始化
工站初始化完成,Station_Initialize_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|工站初始化完成
工站占位,Station_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|工站占位
加样参数下发,Sample_Parameter_Send,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样参数下发
加样参数下发完成,Sample_Parameter_Send_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样参数下发完成
机械臂动作触发_1,Robot_Action_Trigger_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂动作触发_1
机械臂动作完成_1,Robot_Action_Complete_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂动作完成_1
机械臂目标位置代码_1,Robot_Target_Position_Code_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂目标位置代码_1
机械臂当前位置_1,Robot_Current_Position_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前位置_1
机械臂目标取放代码_1,Robot_Target_Pick_Code_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂目标取放代码_1
机械臂当前取放料_1,Robot_Current_Pick_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前取放料_1
机械臂空闲_1,Robot_Idle_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂空闲_1
加珠请求加工,Bead_Request_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠请求加工
加珠开始加工,Bead_Start_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠开始加工
加珠加工完成,Bead_Process_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠加工完成
加珠占位,Bead_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠占位
